cia_imvalores,ingresos_ventas,activos,patrimonio,utilidad_an_imp,impuesto_renta,n_empleados,ingresos_totales,utilidad_ejercicio,total_gastos,ruc,certificada
0.0,8821029.05,13077293.58,9136357.26,350661.13,87665.28,76.0,8821029.05,386600.99,425877.73,0992599979001,0.0
0.0,5758098.0,16623632.09,8705130.95,213.92,53.48,46.0,5758098.0,231.02,683549.27,0992599723001,0.0
0.0,2966486.23,2114867.05,877136.87,122662.46,30665.63,43.0,2966486.23,144308.77,778253.26,2490000286001,0.0
0.0,1198571.51,200894.87,43729.7,12380.26,3095.07,4.0,1198571.51,14565.01,154670.75,0992599332001,0.0
0.0,0.0,381958.0,139575.29,0.0,0.0,4.0,0.0,0.0,0.0,1391781458001,0.0
0.0,69800.0,240335.77,-14569.56,0.0,607.5,4.0,69800.0,0.0,22495.99,0992649461001,0.0
0.0,3931524.82,1942468.24,1184301.24,0.0,103896.03,29.0,3939914.68,0.0,397862.3,0992637617001,0.0
0.0,3554469.41,1625023.32,990096.3,0.0,88820.42,26.0,3557585.67,0.0,292237.57,0992632097001,0.0
0.0,258851.85,156601.2,20364.22,1011.07,252.77,4.0,258851.85,1189.49,105779.85,0992631953001,0.0
0.0,51821.75,1341140.61,1312053.88,0.0,2195.84,4.0,68939.0,16427.57,52511.43,0992624361001,0.0
0.0,1832781.48,199571.91,103900.66,37179.06,9294.77,6.0,1832781.48,43740.08,274726.48,2490001657001,0.0
0.0,49992.47,1660657.91,1626114.44,0.0,3412.03,4.0,206008.41,159706.73,46301.68,0992624728001,0.0
0.0,379464.5,883485.23,163796.62,-110738.11,0.0,19.0,397813.24,-110738.11,120356.35,0992636777001,0.0
0.0,81040674.79,114072033.03,59237107.34,0.0,1677529.49,448.0,81254150.79,0.0,8000865.21,0992721138001,1.0
0.0,0.0,14723.38,9872.43,7711.57,0.0,1.0,0.0,9072.43,81343.72,0992721278001,0.0
0.0,676085.13,579147.62,160874.77,0.0,0.0,5.0,676288.93,3755.74,0.0,0791751535001,0.0
0.0,154921614.61,40838376.11,27700054.27,5313485.44,1531458.7,2781.0,154922925.85,6251159.34,10772981.86,0992708581001,0.0
0.0,0.0,12096.9,4039.26,0.0,0.0,3.0,100.0,100.0,0.0,0791747376001,0.0
0.0,461551.58,48825.4,28010.55,2158.84,474.94,4.0,461551.58,2539.81,65186.32,0992703563001,0.0
0.0,1771018.85,1583637.91,831573.02,93405.95,23351.49,23.0,1771764.27,109889.35,262904.27,0992746823001,0.0
0.0,2376203.92,5132789.45,3477160.16,53244.13,14908.36,12.0,2376203.92,62640.15,0.0,1391791143001,0.0
0.0,0.0,221186.39,219698.58,0.0,0.0,2.0,0.0,0.0,0.0,0791753945001,0.0
0.0,223820.0,84105.69,83898.84,1172.13,257.87,4.0,223820.0,1378.98,59875.31,0791753546001,0.0
0.0,21322653.93,10334897.14,2519305.68,1304537.02,377790.33,10.0,21322653.93,1534749.43,1003190.17,0791758890001,0.0
0.0,0.0,4646.07,1535.99,0.0,0.0,4.0,0.0,0.0,0.0,0791758815001,0.0
0.0,115748.66,217920.63,137820.97,0.0,1323.1,4.0,115748.66,463.62,2020.0,0791758335001,0.0
0.0,220607.44,193095.83,143102.99,0.0,3209.67,2.0,220607.44,38632.25,4389.44,0791758319001,0.0
0.0,2568057.07,1782820.75,420499.69,164498.88,50135.06,28.0,2568057.07,193528.09,2319845.89,0992754486001,0.0
0.0,0.0,30016.24,29851.36,0.0,0.0,4.0,0.0,0.0,0.0,0992753560001,0.0
0.0,9047047.93,9962929.92,3298127.86,0.0,169002.62,29.0,9057865.96,0.0,894759.1,0791759625001,0.0
0.0,178658.61,494997.48,290863.55,3528.53,2424.03,7.0,178658.61,3528.53,8224.56,1792107938001,0.0
